insert into owner values (1, '권', '도은', ' 010-8498-1849', ' 3ngb798o@nano.com', ' female', 98);
insert into owner values (2, '권', '도진', ' 010-3157-7315', ' 8d4524c4@nano.com', ' male', 57);
insert into owner values (3, '권', '민서', ' 010-9564-1956', ' zcg334dq@nano.com', ' female', 64);
insert into owner values (4, '권', '민은', ' 010-0204-8020', ' x4xp0dm6@nano.com', ' male', 4);
insert into owner values (5, '권', '민준', ' 010-2045-1204', ' g2amkmfo@nano.com', ' female', 45);
insert into owner values (6, '권', '민후', ' 010-1607-1160', ' nsmndaks@nano.com', ' female', 7);
insert into owner values (7, '권', '민후', ' 010-3703-8370', ' 5pz5o9vn@nano.com', ' male', 3);
insert into owner values (8, '권', '서연', ' 010-3378-9337', ' i4nnt24s@nano.com', ' male', 78);
insert into owner values (9, '권', '서원', ' 010-9496-9949', ' 6kknl0rf@nano.com', ' female', 96);
insert into owner values (10, '권', '서윤', ' 010-4192-9419', ' cfwd49vn@nano.com', ' male', 92);
insert into owner values (11, '권', '서호', ' 010-7623-4762', ' a00ziwlf@nano.com', ' female', 23);
insert into owner values (12, '권', '서후', ' 010-6805-0680', ' 7xsw8nh9@nano.com', ' female', 5);
insert into owner values (13, '권', '예아', ' 010-4949-4494', ' li8qse96@nano.com', ' female', 49);
insert into owner values (14, '권', '예은', ' 010-1932-6193', ' 2zq9t8pv@nano.com', ' male', 32);
insert into owner values (15, '권', '윤원', ' 010-1929-7192', ' 2gk7xsrq@nano.com', ' male', 29);
insert into owner values (16, '권', '윤은', ' 010-8314-8831', ' wwpmlhyq@nano.com', ' male', 14);
insert into owner values (17, '권', '윤진', ' 010-0268-8026', ' 2nfvil6z@nano.com', ' male', 43);
insert into owner values (18, '권', '윤후', ' 010-8292-9829', ' ku7ut9a8@nano.com', ' female', 92);
insert into owner values (19, '권', '주서', ' 010-0102-6010', ' x5tdct34@nano.com', ' male', 2);
insert into owner values (20, '권', '주연', ' 010-1537-8153', ' rblatyzv@nano.com', ' female', 37);
insert into owner values (21, '권', '주연', ' 010-4821-9482', ' ufwxauiz@nano.com', ' female', 21);
insert into owner values (22, '권', '주은', ' 010-5688-3568', ' 8akspc28@nano.com', ' female', 88);
insert into owner values (23, '권', '주후', ' 010-1645-4164', ' qhzx69el@nano.com', ' male', 45);
insert into owner values (24, '권', '지우', ' 010-3194-5319', ' m7aga4qn@nano.com', ' male', 94);
insert into owner values (25, '권', '지우', ' 010-9777-3977', ' l1r3mzq1@nano.com', ' female', 77);
insert into owner values (26, '권', '지원', ' 010-2143-7214', ' vino2phy@nano.com', ' female', 43);
insert into owner values (27, '권', '지호', ' 010-8711-3871', ' 2um2vr9d@nano.com', ' male', 11);
insert into owner values (28, '권', '채윤', ' 010-8734-2873', ' 76mdkleb@nano.com', ' female', 34);
insert into owner values (29, '권', '채진', ' 010-4111-8411', ' x88g1guk@nano.com', ' male', 11);
insert into owner values (30, '권', '채후', ' 010-2143-7214', ' 1ies78wi@nano.com', ' male', 43);
insert into owner values (31, '권', '하서', ' 010-8954-4895', ' lgaw8bf1@nano.com', ' female', 54);
insert into owner values (32, '권', '하진', ' 010-7175-2717', ' 090zwvg6@nano.com', ' female', 75);
insert into owner values (33, '권', '하호', ' 010-9786-4978', ' 92rxnu5y@nano.com', ' female', 86);
insert into owner values (34, '권', '현윤', ' 010-9836-1983', ' 4pohm8ad@nano.com', ' male', 36);
insert into owner values (35, '권', '현은', ' 010-6145-7614', ' x1sdbkg0@nano.com', ' female', 45);
insert into owner values (36, '권', '현진', ' 010-5216-9521', ' 4rye2dur@nano.com', ' female', 16);
insert into owner values (37, '권', '현호', ' 010-4206-6420', ' 8gsexh21@nano.com', ' male', 6);
insert into owner values (38, '서', '도원', ' 010-8395-5839', ' lkbztzpf@nano.com', ' male', 95);
insert into owner values (39, '서', '도은', ' 010-1856-6185', ' ynzx0p6e@nano.com', ' male', 56);
insert into owner values (40, '서', '도은', ' 010-1294-8129', ' 8pf1u845@nano.com', ' female', 94);
insert into owner values (41, '서', '도호', ' 010-7125-5712', ' cspmtue7@nano.com', ' male', 25);
insert into owner values (42, '서', '민서', ' 010-0875-3087', ' eh44vqow@nano.com', ' male', 75);
insert into owner values (43, '서', '민우', ' 010-3944-3394', ' 4sl3v5ql@nano.com', ' male', 44);
insert into owner values (44, '서', '민진', ' 010-0312-4031', ' 098b9qp4@nano.com', ' female', 12);
insert into owner values (45, '서', '서연', ' 010-5322-0532', ' xyn3htsv@nano.com', ' female', 22);
insert into owner values (46, '서', '서우', ' 010-8388-8838', ' 4zss07be@nano.com', ' male', 88);
insert into owner values (47, '서', '서은', ' 010-6763-4676', ' g6mx947n@nano.com', ' male', 63);
insert into owner values (48, '서', '서은', ' 010-9753-6975', ' 875587vx@nano.com', ' female', 53);
insert into owner values (49, '서', '예서', ' 010-3668-0366', ' o762n0zq@nano.com', ' male', 68);
insert into owner values (50, '서', '예아', ' 010-0861-8086', ' p1v6ihwc@nano.com', ' male', 61);
insert into owner values (51, '서', '예연', ' 010-1966-2196', ' 8atv28cg@nano.com', ' female', 66);
insert into owner values (52, '서', '윤아', ' 010-8787-7878', ' blpttkha@nano.com', ' male', 87);
insert into owner values (53, '서', '윤원', ' 010-3354-9335', ' z3nhpri8@nano.com', ' male', 54);
insert into owner values (54, '서', '윤윤', ' 010-5215-4521', ' cmfu3g51@nano.com', ' male', 15);
insert into owner values (55, '서', '윤윤', ' 010-8655-5865', ' vg1qy2kv@nano.com', ' male', 55);
insert into owner values (56, '서', '윤은', ' 010-9542-5954', ' stvunzge@nano.com', ' male', 42);
insert into owner values (57, '서', '주우', ' 010-4104-6410', ' 03fpl2l1@nano.com', ' male', 4);
insert into owner values (58, '서', '주준', ' 010-0875-3087', ' u4vanymf@nano.com', ' male', 75);
insert into owner values (59, '서', '주준', ' 010-7643-3764', ' mbzwt55y@nano.com', ' male', 43);
insert into owner values (60, '서', '지서', ' 010-8991-2899', ' e6ha8cnd@nano.com', ' male', 91);
insert into owner values (61, '서', '지서', ' 010-8444-3844', ' 99ly1uyv@nano.com', ' male', 44);
insert into owner values (62, '서', '지우', ' 010-9236-4923', ' qz9zozz7@nano.com', ' female', 36);
insert into owner values (63, '서', '지우', ' 010-1352-6135', ' ixieax7z@nano.com', ' female', 52);
insert into owner values (64, '서', '지우', ' 010-7778-8777', ' wacceoki@nano.com', ' female', 78);
insert into owner values (65, '서', '지우', ' 010-3005-3300', ' sfxy059d@nano.com', ' female', 5);
insert into owner values (66, '서', '지은', ' 010-1078-6107', ' c282evpq@nano.com', ' female', 78);
insert into owner values (67, '서', '지준', ' 010-1856-6185', ' e9ieuhc8@nano.com', ' female', 56);
insert into owner values (68, '서', '지준', ' 010-3733-6373', ' 4q56cq7f@nano.com', ' female', 33);
insert into owner values (69, '서', '지준', ' 010-3164-7316', ' 0ofu8l39@nano.com', ' female', 64);
insert into owner values (70, '서', '지진', ' 010-7856-5785', ' addyrvlu@nano.com', ' male', 56);
insert into owner values (71, '서', '지호', ' 010-4152-0415', ' 5slvsuz7@nano.com', ' male', 52);
insert into owner values (72, '서', '채서', ' 010-4861-1486', ' y3zmvmmn@nano.com', ' male', 61);
insert into owner values (73, '서', '채우', ' 010-3534-4353', ' qqg9iozt@nano.com', ' female', 34);
insert into owner values (74, '서', '채원', ' 010-9103-7910', ' 2pzsnvxp@nano.com', ' female', 3);
insert into owner values (75, '서', '채준', ' 010-0675-6067', ' qi9yxt99@nano.com', ' male', 75);
insert into owner values (76, '서', '채호', ' 010-1566-1156', ' y7dfqe0u@nano.com', ' male', 66);
insert into owner values (77, '서', '채호', ' 010-8469-2846', ' ami8rz2z@nano.com', ' female', 69);
insert into owner values (78, '서', '하아', ' 010-4966-8496', ' wk2rov20@nano.com', ' female', 66);
insert into owner values (79, '서', '하준', ' 010-8627-4862', ' 322zzgnn@nano.com', ' male', 27);
insert into owner values (80, '서', '하준', ' 010-3488-5348', ' f7zesezp@nano.com', ' male', 88);
insert into owner values (81, '서', '하후', ' 010-6482-4648', ' e3l63zyz@nano.com', ' male', 82);
insert into owner values (82, '서', '현은', ' 010-9537-2953', ' fgfo47ab@nano.com', ' female', 37);
insert into owner values (83, '서', '현호', ' 010-0608-2060', ' w5oxd0hf@nano.com', ' female', 8);
insert into owner values (84, '서', '현호', ' 010-9311-0931', ' ux9brzq6@nano.com', ' male', 11);
insert into owner values (85, '서', '현후', ' 010-3573-9357', ' yzw03hhb@nano.com', ' female', 73);
insert into owner values (86, '송', '도연', ' 010-1816-8181', ' q8z4x8t7@nano.com', ' male', 16);
insert into owner values (87, '송', '도준', ' 010-3512-4351', ' 1uz6gg71@nano.com', ' female', 12);
insert into owner values (88, '송', '도진', ' 010-6926-8692', ' v93nblwm@nano.com', ' male', 26);
insert into owner values (89, '송', '민아', ' 010-2538-6253', ' 1y5ioowg@nano.com', ' female', 38);
insert into owner values (90, '송', '민원', ' 010-6905-4690', ' kn3zlbye@nano.com', ' female', 5);
insert into owner values (91, '송', '민원', ' 010-1993-1199', ' rybbhqzc@nano.com', ' female', 93);
insert into owner values (92, '송', '서원', ' 010-9836-1983', ' g9fawcm0@nano.com', ' female', 36);
insert into owner values (93, '송', '서호', ' 010-2914-6291', ' ql3i6gmg@nano.com', ' male', 14);
insert into owner values (94, '송', '서후', ' 010-1605-5160', ' f6hfs3sv@nano.com', ' female', 5);
insert into owner values (95, '송', '예원', ' 010-0557-5055', ' xhxzibgm@nano.com', ' male', 57);
insert into owner values (96, '송', '예윤', ' 010-7547-7754', ' edqaxoma@nano.com', ' male', 47);
insert into owner values (97, '송', '예은', ' 010-1876-6187', ' gxl559zk@nano.com', ' male', 76);
insert into owner values (98, '송', '윤서', ' 010-1324-6132', ' et83mnl7@nano.com', ' female', 24);
insert into owner values (99, '송', '윤우', ' 010-4254-5425', ' yqnuhypw@nano.com', ' male', 54);
